,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,296.44,78,28,2.88,PF,1635369271
1,Cabo San Lucas,22.8909,-109.9124,304.36,57,20,5.14,MX,1635369277
2,Ushuaia,-54.8,-68.3,282.96,57,20,11.32,AR,1635369097
3,Punta Arenas,-53.15,-70.9167,286.21,44,0,16.98,CL,1635369184
4,Urengoy,65.9667,78.3667,259.76,98,88,2.46,RU,1635369277
5,Mar del Plata,-38.0023,-57.5575,295.16,85,0,4.47,AR,1635369278
6,Jacqueville,5.2052,-4.4146,300.1,82,33,5.76,CI,1635369278
7,Hirado,33.3597,129.5531,288.35,48,7,3.86,JP,1635369278
8,Qaqortoq,60.7167,-46.0333,273.43,73,8,2.34,GL,1635369279
9,Hualmay,-11.0964,-77.6139,292.81,74,34,5.28,PE,1635369279
10,São João da Barra,-21.6403,-41.0511,298.2,86,58,5.96,BR,1635369279
11,North Platte,41.1239,-100.7654,289.09,35,1,7.15,US,1635369138
12,Albany,42.6001,-73.9662,288.04,69,97,3.07,US,1635369081
13,Itigi,-5.7,34.4833,295.38,43,3,4.99,TZ,1635369280
14,Naryan-Mar,67.6713,53.087,266.7,86,100,5.16,RU,1635369280
15,Mayo,38.8876,-76.5119,295.14,61,1,1.79,US,1635369280
16,Chardara,41.2547,67.9692,285.26,48,100,5.18,KZ,1635369281
17,Jamestown,42.097,-79.2353,287.6,69,1,1.79,US,1635369046
18,Byron Bay,-28.65,153.6167,298.18,83,9,4.47,AU,1635368948
19,Hirara,24.8,125.2833,296.97,61,52,8.11,JP,1635369281
20,Luwingu,-10.2621,29.9271,296.5,45,94,2.52,ZM,1635369282
21,Atuona,-9.8,-139.0333,298.51,69,12,6.6,PF,1635369213
22,Agutaya,11.148,120.9417,301.39,78,100,10.9,PH,1635369282
23,Flinders,-34.5833,150.8552,291.6,93,95,1.18,AU,1635369282
24,Hobart,-42.8794,147.3294,289.32,68,0,4.12,AU,1635369283
25,Butaritari,3.0707,172.7902,300.69,72,100,3.64,KI,1635369283
26,Tiksi,71.6872,128.8694,258.76,98,86,2.03,RU,1635369283
27,Makakilo City,21.3469,-158.0858,301.33,60,90,5.14,US,1635369283
28,Hermanus,-34.4187,19.2345,291.98,92,91,2.36,ZA,1635369284
29,Bentiu,9.2333,29.8333,297.91,70,70,1.99,SS,1635369284
30,Bethel,41.3712,-73.414,287.09,81,90,0.45,US,1635369245
31,Clyde River,70.4692,-68.5914,270.5,81,100,1.63,CA,1635369285
32,Mahébourg,-20.4081,57.7,295.51,83,40,1.54,MU,1635369285
33,Reisterstown,39.4696,-76.8294,293.78,63,0,1.79,US,1635368466
34,Saint George,37.1041,-113.5841,293.9,33,1,1.34,US,1635369062
35,Saint-Philippe,-21.3585,55.7679,293.92,79,32,4.59,RE,1635369285
36,Kumul,42.8,93.45,281.88,35,0,1.42,CN,1635369286
37,Lüderitz,-26.6481,15.1594,291.01,67,100,2.23,NA,1635369286
38,Pangnirtung,66.1451,-65.7125,269.34,88,83,2.13,CA,1635369286
39,Mataura,-46.1927,168.8643,288.92,69,10,1.82,NZ,1635369287
40,Fredericton,45.9454,-66.6656,281.49,80,100,1.79,CA,1635369208
41,Sapernoye,60.7167,29.9505,280.48,91,100,2.68,RU,1635369287
42,Nabire,-3.3667,135.4833,297.67,90,89,1.2,ID,1635369287
43,Husavik,66.0449,-17.3389,277.74,98,100,5.74,IS,1635369288
44,Narsaq,60.9167,-46.05,273.27,67,15,2.86,GL,1635369288
45,Port Elizabeth,-33.918,25.5701,292.35,81,100,8.36,ZA,1635369288
46,Sangar,63.9242,127.4739,265.2,88,100,6.35,RU,1635369289
47,Bulawayo,-20.15,28.5833,289.9,78,14,6.8,ZW,1635369289
48,Milledgeville,33.0801,-83.2321,296.62,50,6,1.33,US,1635369289
49,Adrar,20.5022,-10.0711,296.0,47,38,6.8,MR,1635369289
50,Madimba,-10.4,40.3333,296.82,90,6,2.07,TZ,1635369290
51,Avarua,-21.2078,-159.775,298.18,69,90,3.6,CK,1635369290
52,Busselton,-33.65,115.3333,280.4,76,77,3.67,AU,1635369290
53,Parry Sound,45.3501,-80.033,286.6,51,9,2.18,CA,1635368959
54,Chālūs,36.655,51.4204,286.6,79,27,2.06,IR,1635369291
55,Xaxim,-26.9617,-52.5347,292.69,62,99,1.69,BR,1635369291
56,Salinópolis,-0.6136,-47.3561,300.66,73,84,4.94,BR,1635369292
57,Lahat,-3.8,103.5333,296.79,90,99,0.86,ID,1635369292
58,Half Moon Bay,37.4636,-122.4286,297.37,75,20,4.63,US,1635369292
59,Bedford,52.1346,-0.4663,288.23,80,95,7.78,GB,1635369235
60,San Patricio,28.017,-97.5169,306.2,16,0,11.35,US,1635369293
61,Port Alfred,-33.5906,26.891,292.74,81,100,13.94,ZA,1635369293
62,Codrington,-38.2667,141.9667,286.46,92,96,4.03,AU,1635369293
63,Kapaa,22.0752,-159.319,301.14,78,20,0.45,US,1635369294
64,Qaanaaq,77.484,-69.3632,267.02,94,100,5.07,GL,1635369294
65,Provideniya,64.3833,-173.3,266.21,63,75,4.0,RU,1635369294
66,Le Vauclin,14.5452,-60.8388,301.18,69,0,3.09,MQ,1635369295
67,Tasiilaq,65.6145,-37.6368,273.24,67,42,1.72,GL,1635369295
68,Geraldton,-28.7667,114.6,285.38,87,90,2.06,AU,1635369295
69,Port Lincoln,-34.7333,135.8667,287.67,88,75,6.56,AU,1635369296
70,Thompson,55.7435,-97.8558,278.1,96,100,3.17,CA,1635369296
71,Vaini,-21.2,-175.2,299.24,83,40,4.63,TO,1635369296
72,Tuatapere,-46.1333,167.6833,288.61,73,8,1.42,NZ,1635369297
73,Kudahuvadhoo,2.6708,72.8944,300.45,77,95,3.72,MV,1635369297
74,Fortuna,40.5982,-124.1573,294.46,65,75,0.89,US,1635369297
75,Dikson,73.5069,80.5464,259.07,91,42,1.69,RU,1635369298
76,Kangaatsiaq,68.3065,-53.4641,266.93,70,100,3.09,GL,1635369298
77,Mīzan Teferī,6.9833,35.5833,289.37,96,99,1.08,ET,1635369298
78,Grand Gaube,-20.0064,57.6608,295.58,72,9,0.45,MU,1635369299
79,Westport,41.1415,-73.3579,288.29,81,40,0.45,US,1635369199
80,Pisco,-13.7,-76.2167,293.18,64,0,8.75,PE,1635369299
81,Carauari,-4.8828,-66.8958,298.71,95,100,1.04,BR,1635369299
82,Andenes,69.3143,16.1194,276.14,75,0,10.8,NO,1635369300
83,Saint Paul Harbor,57.79,-152.4072,279.88,45,1,4.12,US,1635369300
84,Bluff,-46.6,168.3333,286.59,73,8,1.19,NZ,1635369301
85,Bredasdorp,-34.5322,20.0403,291.64,96,87,2.71,ZA,1635369301
86,Upernavik,72.7868,-56.1549,267.9,78,81,2.22,GL,1635369302
87,Yangi Marg`ilon,40.4272,71.7189,283.55,53,100,3.09,UZ,1635369303
88,Matara,5.9485,80.5353,297.69,90,100,3.34,LK,1635369303
89,Constitución,-35.3333,-72.4167,290.04,69,19,6.11,CL,1635369304
90,Udachny,66.4167,112.4,266.21,82,100,9.26,RU,1635369305
91,Ostrovnoy,68.0531,39.5131,273.21,68,98,6.93,RU,1635369306
92,Taft,31.7471,54.2088,284.12,33,0,2.06,IR,1635369306
93,Farīdpur,23.6,89.8333,300.15,81,9,3.24,BD,1635369307
94,Hithadhoo,-0.6,73.0833,300.6,76,23,6.92,MV,1635369308
95,Gopālpur,19.2667,84.9167,298.66,80,91,4.19,IN,1635369308
96,Aklavik,68.2191,-135.0107,271.55,90,98,1.45,CA,1635369308
97,Lumby,50.2498,-118.969,286.59,45,88,1.79,CA,1635369309
98,Puerto Ayora,-0.7393,-90.3518,298.13,89,87,2.68,EC,1635369309
99,Cape Town,-33.9258,18.4232,292.1,74,84,0.45,ZA,1635369180
100,Vezirköprü,41.1436,35.4547,279.42,83,0,0.89,TR,1635369310
101,Morgan City,29.6994,-91.2068,301.48,82,80,8.04,US,1635369310
102,Yellowknife,62.456,-114.3525,278.38,97,98,2.68,CA,1635369000
103,Malibu,34.005,-118.8101,304.54,36,0,3.13,US,1635369310
104,Lebu,-37.6167,-73.65,286.76,77,69,6.09,CL,1635369311
105,Ulladulla,-35.35,150.4667,291.41,44,76,1.05,AU,1635369311
106,Souillac,-20.5167,57.5167,295.57,83,40,1.54,MU,1635369311
107,Andros Town,24.7,-77.7667,302.13,65,86,5.69,BS,1635369311
108,Eresós,39.1667,25.9333,286.88,70,0,6.27,GR,1635369312
109,Pizarro,4.9533,-77.366,300.82,74,61,3.02,CO,1635369312
110,Talaya,61.3833,152.75,253.71,91,33,0.61,RU,1635369312
111,Cidreira,-30.1811,-50.2056,294.74,77,0,4.35,BR,1635369313
112,Saint-Joseph,-21.3667,55.6167,293.36,79,16,2.87,RE,1635369313
113,Chokurdakh,70.6333,147.9167,257.45,90,100,2.34,RU,1635369313
114,Cherskiy,68.75,161.3,245.1,98,7,2.46,RU,1635369314
115,Belaya Gora,68.5333,146.4167,253.43,96,99,0.89,RU,1635369314
116,Mulatupo,8.9492,-77.7652,301.31,81,100,1.88,PA,1635369314
117,Ngunguru,-35.6167,174.5,290.46,76,100,2.01,NZ,1635369315
118,Mbigou,-1.9005,11.906,293.43,99,100,1.6,GA,1635369315
119,Bālāghāt,21.8,80.1833,291.69,68,3,2.54,IN,1635369315
120,Dabat,12.9842,37.765,284.59,67,44,1.48,ET,1635369316
121,Port Hedland,-20.3167,118.5667,292.18,94,0,3.6,AU,1635369316
122,Candolim,15.5181,73.7626,297.88,69,50,3.48,IN,1635369316
123,Torbay,47.6666,-52.7314,278.47,86,90,6.17,CA,1635369316
124,Hobyo,5.3505,48.5268,300.05,78,8,3.63,SO,1635369317
125,Najrān,17.4924,44.1277,293.51,25,4,0.88,SA,1635369317
126,Salalah,17.0151,54.0924,297.2,57,0,1.54,OM,1635369317
127,Cockburn Town,21.4612,-71.1419,301.56,69,80,3.08,TC,1635369318
128,Dali,25.7,100.1833,285.5,91,49,1.63,CN,1635369318
129,Turaif,31.6725,38.6637,290.29,42,0,2.57,SA,1635369318
130,Chernyshevskiy,63.0128,112.4714,266.9,78,99,7.64,RU,1635369319
131,Saravan,39.7196,45.6483,272.51,31,0,1.78,AM,1635369319
132,Touros,-5.1989,-35.4608,300.65,76,5,7.38,BR,1635369319
133,New Norfolk,-42.7826,147.0587,289.12,55,5,1.07,AU,1635369320
134,College,64.8569,-147.8028,271.12,90,75,2.06,US,1635369320
135,Airai,-8.9266,125.4092,289.17,81,95,0.92,TL,1635369320
136,Puerto Escondido,15.85,-97.0667,304.61,58,1,4.12,MX,1635369321
137,Ribeira Grande,38.5167,-28.7,293.37,73,40,7.72,PT,1635369321
138,Kruisfontein,-34.0033,24.7314,291.37,84,100,2.57,ZA,1635369321
139,Kalmunai,7.4167,81.8167,298.58,83,100,2.87,LK,1635369322
140,Puerto Ayacucho,5.6639,-67.6236,299.53,86,90,1.47,VE,1635369322
141,Bambous Virieux,-20.3428,57.7575,295.49,83,40,1.54,MU,1635369322
142,Riverton,40.5219,-111.9391,287.95,49,40,1.79,US,1635369323
143,Ha Giang,22.8333,104.9833,294.02,92,84,0.95,VN,1635369323
144,East London,-33.0153,27.9116,292.7,83,100,9.64,ZA,1635369097
145,Kiryat Gat,31.61,34.7642,293.93,62,0,2.43,IL,1635369323
146,Mount Isa,-20.7333,139.5,301.02,61,40,3.09,AU,1635369324
147,Nikolskoye,59.7035,30.7861,280.3,91,100,4.32,RU,1635369324
148,Gouyave,12.1646,-61.7296,300.58,83,90,5.14,GD,1635369324
149,Santa Vitória do Palmar,-33.5189,-53.3681,296.58,65,0,2.78,BR,1635369324
150,Zhezkazgan,47.8043,67.7144,272.85,38,0,3.23,KZ,1635369325
151,Saskylakh,71.9167,114.0833,250.82,100,100,1.09,RU,1635369326
152,Río Tercero,-32.173,-64.1141,302.31,14,59,6.49,AR,1635369326
153,Udangudi,8.4333,78.0167,299.25,78,95,1.83,IN,1635369326
154,Eureka,40.8021,-124.1637,294.61,78,99,1.79,US,1635369327
155,Tucuruí,-3.7661,-49.6725,302.05,65,99,1.56,BR,1635369327
156,Tuktoyaktuk,69.4541,-133.0374,272.15,93,90,3.09,CA,1635369328
157,Strelka,58.0728,93.0344,270.62,67,30,3.62,RU,1635369328
158,Rasht,37.2808,49.5832,293.05,100,40,0.0,IR,1635369328
159,Alofi,-19.0595,-169.9187,300.09,61,40,8.75,NU,1635369329
160,Burnie,-41.0667,145.9167,287.01,74,72,2.27,AU,1635369329
161,Eichstätt,48.8833,11.1833,280.91,100,90,1.54,DE,1635369330
162,Ankang,32.68,109.0172,287.96,91,100,0.51,CN,1635369330
163,Sungai Penuh,-2.0833,101.3833,291.44,84,98,1.0,ID,1635369331
164,Parrita,9.5201,-84.3225,303.99,77,100,2.19,CR,1635369331
165,Hong Kong,22.2855,114.1577,298.33,84,85,2.68,HK,1635369075
166,Port Blair,11.6667,92.75,300.43,82,88,4.0,IN,1635369331
167,Castro,-24.7911,-50.0119,291.77,91,100,3.36,BR,1635369332
168,Barrow,71.2906,-156.7887,266.16,86,90,2.57,US,1635369332
169,George Town,5.4112,100.3354,300.31,87,20,0.51,MY,1635369269
170,Hamilton,39.1834,-84.5333,288.02,70,1,0.89,US,1635369325
171,Lompoc,34.6391,-120.4579,301.09,46,1,7.2,US,1635369332
172,Faanui,-16.4833,-151.75,299.45,78,45,2.74,PF,1635369333
173,Storforshei,66.4043,14.5233,276.03,86,75,4.12,NO,1635369333
174,Saryozek,44.3583,77.9753,282.13,50,100,2.42,KZ,1635369333
175,Gushikawa,26.3544,127.8686,294.72,77,1,2.06,JP,1635369334
176,Powell River,49.8496,-124.5361,286.64,76,90,5.14,CA,1635369325
177,Paamiut,61.994,-49.6678,272.79,70,65,5.8,GL,1635369334
178,Arraial do Cabo,-22.9661,-42.0278,297.13,88,75,5.14,BR,1635369335
179,Araouane,18.9048,-3.5265,305.8,16,96,2.53,ML,1635369335
180,Alyangula,-13.8483,136.4192,296.08,100,75,0.0,AU,1635369335
181,Guerrero Negro,27.9769,-114.0611,300.54,25,0,3.52,MX,1635369336
182,Ayyampettāi,10.9014,79.1798,299.46,90,65,3.0,IN,1635369336
183,Kavaratti,10.5669,72.642,300.08,78,100,3.0,IN,1635369336
184,Kaitangata,-46.2817,169.8464,288.43,70,6,1.7,NZ,1635369336
185,Lumsden,50.6501,-104.8678,287.7,41,2,4.86,CA,1635369326
186,Micoud,13.8167,-60.9,301.11,74,20,6.17,LC,1635369337
187,Tūkrah,32.5341,20.5791,294.65,77,12,2.69,LY,1635369337
188,Keningau,5.3378,116.1602,295.4,99,77,0.82,MY,1635369338
189,Berlevåg,70.8578,29.0864,272.12,86,90,6.17,NO,1635369338
190,São Filipe,14.8961,-24.4956,299.29,77,90,4.33,CV,1635369339
191,Belyy Yar,53.6039,91.3903,264.09,86,0,3.0,RU,1635369339
192,Chelbasskaya,45.9792,39.3719,278.87,61,0,1.5,RU,1635369339
193,Contamana,-7.3333,-75.0167,307.17,37,61,0.45,PE,1635369340
194,Arlit,18.7369,7.3853,303.98,11,3,3.34,NE,1635369340
195,Immokalee,26.4187,-81.4173,303.68,68,100,4.46,US,1635369340
196,Kamenka,51.3223,42.7678,275.69,44,3,4.92,RU,1635369341
197,Shakawe,-18.3667,21.85,296.17,66,99,4.58,BW,1635369341
198,Camacha,33.0833,-16.3333,292.89,73,20,2.57,PT,1635369341
199,Vostok,46.4856,135.8833,273.55,97,100,1.51,RU,1635369342
200,Gwadar,25.1216,62.3254,298.66,64,0,2.03,PK,1635369342
201,Makkah al Mukarramah,21.4267,39.8261,299.99,59,57,1.01,SA,1635369343
202,Longyearbyen,78.2186,15.6401,268.06,68,75,3.09,SJ,1635369343
203,Benicarló,40.4165,0.4271,288.65,75,100,1.5,ES,1635369343
204,Grindavik,63.8424,-22.4338,277.41,81,0,4.12,IS,1635369344
205,Warrnambool,-38.3833,142.4833,288.04,92,66,4.01,AU,1635369344
206,Dubno,50.4169,25.7343,279.76,90,55,3.33,UA,1635369344
207,Olinda,-8.0089,-34.8553,301.0,69,40,3.09,BR,1635369345
208,Ahipara,-35.1667,173.1667,290.77,77,100,2.23,NZ,1635369345
209,Portland,45.5234,-122.6762,288.35,83,90,1.34,US,1635368791
210,Mount Gambier,-37.8333,140.7667,286.1,94,90,4.63,AU,1635369345
211,Itaueira,-7.6033,-43.0256,304.63,32,24,2.22,BR,1635369346
212,Sioux Lookout,50.1001,-91.917,283.19,57,90,4.12,CA,1635369346
213,Tilichiki,60.4667,166.1,254.31,94,9,3.91,RU,1635369346
214,Banamba,13.55,-7.45,302.48,29,9,1.34,ML,1635369347
215,Mossendjo,-2.9506,12.7261,294.46,99,100,2.08,CG,1635369347
216,Srednekolymsk,67.45,153.6833,250.07,99,76,1.16,RU,1635369347
217,Morón,-34.6534,-58.6198,307.6,31,0,1.79,AR,1635369306
218,Mgandu,-5.95,34.1333,293.94,48,5,5.31,TZ,1635369348
219,Tagusao,9.1924,117.8141,299.32,85,95,1.84,PH,1635369348
220,Ryōtsu-minato,38.0833,138.4333,287.91,70,35,4.83,JP,1635369349
221,Ambilobe,-13.2,49.05,296.42,77,60,1.38,MG,1635369349
222,Karasjok,69.4719,25.5112,269.21,97,63,2.38,NO,1635369349
223,Øksfjord,70.2396,22.3479,271.66,90,86,7.12,NO,1635369350
224,Severo-Kuril'sk,50.6789,156.125,279.2,92,100,2.64,RU,1635369350
225,Hilo,19.7297,-155.09,301.0,66,1,4.12,US,1635369345
226,Abay,49.6311,72.8539,262.36,51,2,2.03,KZ,1635369350
227,Yeniseysk,58.4497,92.1703,270.36,70,6,3.6,RU,1635369351
228,Mlonggo,-6.5333,110.7,300.09,81,100,1.71,ID,1635369351
229,Batagay-Alyta,67.8006,130.4114,256.3,90,98,0.92,RU,1635369351
230,Esperance,-33.8667,121.9,284.06,67,82,10.56,AU,1635369352
231,Missoula,47.0166,-113.8009,279.37,55,63,6.29,US,1635369301
232,Talnakh,69.4865,88.3972,252.97,99,95,4.09,RU,1635369352
233,Yulara,-25.2406,130.9889,294.06,32,86,2.06,AU,1635369352
234,Rio Grande,-32.035,-52.0986,302.21,77,0,3.43,BR,1635369349
235,Saldanha,-33.0117,17.9442,289.18,96,100,4.04,ZA,1635369353
